# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ANKRD54	ANKRD54	NM_001349853.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ANKRD54	ANKRD54	NM_001363839.1	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ANKRD54	ANKRD54	NM_138797.4	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ANKRD54	ANKRD54	NR_036556.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ANKRD54	ANKRD54	NR_146279.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ANKRD54	ANKRD54	NR_146280.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
AP1B1	AP1B1	NM_001127.3	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
AP1B1	AP1B1	NM_001166019.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
AP1B1	AP1B1	NM_145730.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
APOBEC3A_B	APOBEC3A_B	NM_001193289.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
APOBEC3B	APOBEC3B	NM_001270411.2	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
APOBEC3B	APOBEC3B	NM_004900.5	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
APOBEC3B-AS1	APOBEC3B-AS1.2	NR_104187.1.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	APOBEC3C	NM_014508.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APOBEC3D	APOBEC3D	NM_001363781.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APOBEC3D	APOBEC3D	NM_152426.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APOBEC3F	APOBEC3F	NM_001006666.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOBEC3F	APOBEC3F	NM_145298.6	protein_coding	0	1	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_001166002.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_001166003.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_001166004.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_181773.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APOL1	APOL1	NM_001136540.1	protein_coding	0	9	8	1	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	9	0
APOL1	APOL1	NM_001136541.1	protein_coding	0	9	8	1	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	9	0
APOL1	APOL1	NM_001362927.2	protein_coding	0	9	8	1	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	9	0
APOL1	APOL1	NM_003661.4	protein_coding	0	9	8	1	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	9	0
APOL1	APOL1	NM_145343.2	protein_coding	0	9	8	1	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	9	0
APOL2	APOL2	NM_030882.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APOL2	APOL2	NM_145637.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APOL3	APOL3	NM_014349.3	protein_coding	0	0	4	4	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3
APOL3	APOL3	NM_030644.2	protein_coding	0	0	4	4	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3
APOL3	APOL3	NM_145639.2	protein_coding	0	0	4	4	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3
APOL3	APOL3	NM_145640.2	protein_coding	0	1	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0
APOL3	APOL3	NM_145641.2	protein_coding	0	2	2	6	0	1	4	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0
APOL3	APOL3	NM_145642.2	protein_coding	0	2	2	6	0	1	4	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0
APOL5	APOL5.2	NM_030642.1.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARHGAP8	ARHGAP8	NM_001017526.1	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ARHGAP8	ARHGAP8	NM_001198726.1	protein_coding	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARHGAP8	ARHGAP8	NM_181335.2	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ARSA	ARSA	NM_000487.6	protein_coding	0	11	5	3	0	0	0	0	0	0	0	0	0	3	5	0	0	1	0	0	0	11	0
ARSA	ARSA	NM_001085425.3	protein_coding	0	11	5	3	0	0	0	0	0	0	0	0	0	3	5	0	0	1	0	0	0	11	0
ARSA	ARSA	NM_001085426.3	protein_coding	0	11	5	3	0	0	0	0	0	0	0	0	0	3	5	0	0	1	0	0	0	11	0
ARSA	ARSA	NM_001085427.3	protein_coding	0	11	5	3	0	0	0	0	0	0	0	0	0	3	5	0	0	1	0	0	0	11	0
ARSA	ARSA	NM_001085428.3	protein_coding	0	9	5	5	0	0	1	0	0	0	0	0	0	4	5	0	0	1	0	0	0	9	0
ARSA	ARSA	NM_001362782.2	protein_coding	0	9	5	5	0	0	1	0	0	0	0	0	0	4	5	0	0	1	0	0	0	9	0
ARVCF	ARVCF	NM_001670.3	protein_coding	0	7	13	1	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	7	0
ATF4	ATF4	NM_001675.4	protein_coding	0	2	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0
ATF4	ATF4	NM_182810.2	protein_coding	0	2	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0
ATP5MGL	ATP5MGL	NM_001165877.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ATP6V1E1	ATP6V1E1	NM_001039366.1	protein_coding	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5	0
ATP6V1E1	ATP6V1E1	NM_001039367.1	protein_coding	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5	0
ATP6V1E1	ATP6V1E1	NM_001696.4	protein_coding	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5	0
ATXN10	ATXN10	NM_001167621.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ATXN10	ATXN10	NM_013236.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BAIAP2L2	BAIAP2L2	NM_025045.6	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
BCL2L13	BCL2L13	NM_001270726.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270727.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270728.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270729.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270730.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270731.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270732.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270734.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270735.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001363824.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_015367.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NR_073068.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NR_073069.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BCR	BCR	NM_004327.4	protein_coding	0	7	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	0
BCR	BCR	NM_021574.3	protein_coding	0	7	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	0
BCRP3	BCRP3	NR_024494.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
BIK	BIK	NM_001197.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BRD1	BRD1	NM_001304808.3	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0
BRD1	BRD1	NM_001304809.1	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0
BRD1	BRD1	NM_001349940.1	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0
BRD1	BRD1	NM_001349941.1	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0
BRD1	BRD1	NM_001349942.1	protein_coding	0	5	2	4	0	2	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0
BRD1	BRD1	NR_146334.1		0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
BRD1	BRD1	NR_146335.1		0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
C1QTNF6	C1QTNF6	NM_001365878.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C1QTNF6	C1QTNF6	NM_031910.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C1QTNF6	C1QTNF6	NM_182486.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C22orf15	C22orf15.2	NM_001331041.1	protein_coding	0	0	1	20	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0
C22orf15	C22orf15.2	NM_182520.2.2	protein_coding	0	0	0	21	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
C22orf46	C22orf46	NR_160905.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CABIN1	CABIN1	NM_001199281.1	protein_coding	0	9	13	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	9	0
CABIN1	CABIN1	NM_001201429.1	protein_coding	0	9	12	1	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	9	0
CABIN1	CABIN1	NM_012295.4	protein_coding	0	9	13	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	9	0
CACNA1I	CACNA1I	NM_001003406.2	protein_coding	0	9	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	9	0
CACNA1I	CACNA1I	NM_021096.4	protein_coding	0	10	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0
CACNG2	CACNG2	NM_006078.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CARD10	CARD10	NM_014550.4	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
CASTOR1	CASTOR1	NM_001037666.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBX6	CBX6	NM_001303494.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBX6	CBX6	NM_014292.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCDC116	CCDC116	NM_001331066.1	protein_coding	0	2	2	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0
CCDC116	CCDC116	NM_152612.3	protein_coding	0	3	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0
CCT8L2	CCT8L2	NM_014406.5	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDC42EP1	CDC42EP1	NM_152243.3	protein_coding	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0
CDC45	CDC45	NM_001178010.2	protein_coding	0	12	3	2	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	12	0
CDC45	CDC45	NM_001178011.2	protein_coding	0	11	1	5	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	11	0
CDC45	CDC45	NM_001369291.1	protein_coding	0	12	2	3	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	12	0
CDC45	CDC45	NM_003504.4	protein_coding	0	12	2	3	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	12	0
CDC45	CDC45	NR_161281.1		0	0	0	17	0	0	0	0	0	0	0	1	0	2	0	14	0	0	0	0	0	0	0
CECR2	CECR2	NM_001290046.1	protein_coding	0	6	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0
CECR2	CECR2	NM_001290047.2	protein_coding	0	6	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0
CELSR1	CELSR1	NM_014246.3	protein_coding	0	30	12	5	0	0	0	0	0	0	0	5	0	0	12	0	0	1	0	0	0	30	0
CERK	CERK	NM_022766.6	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
CHCHD10	CHCHD10	NM_001301339.2.2	protein_coding	0	10	10	1	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	10	0
CHCHD10	CHCHD10	NM_213720.3.2	protein_coding	0	11	9	1	0	0	0	0	0	0	0	1	0	2	9	0	0	2	0	0	0	9	0
CHCHD10	CHCHD10	NR_125755.2		0	2	0	19	0	0	0	0	0	0	0	1	0	4	0	16	0	2	0	0	0	0	0
CHCHD10	CHCHD10	NR_125756.2		0	2	0	19	0	0	0	0	0	0	0	1	0	11	0	9	0	2	0	0	0	0	0
CHEK2	CHEK2	NM_001005735.2	protein_coding	3	281	12	8	0	0	1	0	0	0	0	0	3	14	12	0	0	13	0	0	0	274	0
CHEK2	CHEK2	NM_001257387.2	protein_coding	1	197	6	114	0	14	107	0	0	0	0	0	1	14	6	0	0	13	0	0	0	176	0
CHEK2	CHEK2	NM_001349956.2	protein_coding	4	242	8	50	0	0	1	0	0	0	0	0	4	56	8	0	0	13	0	0	0	235	0
CHEK2	CHEK2	NM_007194.4	protein_coding	3	281	12	8	0	0	1	0	0	0	0	0	3	14	12	0	0	13	0	0	0	274	0
CHEK2	CHEK2	NM_145862.2	protein_coding	3	268	12	21	0	0	1	0	0	0	0	0	3	26	12	0	0	12	0	0	0	262	0
CHKB	CHKB	NM_005198.4	protein_coding	0	8	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	8	0
CHKB-CPT1B	CHKB-CPT1B	NR_027928.2		0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0
CHKB-DT	CHKB-DT	NR_021492.2		0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
CHKB-DT	CHKB-DT	NR_110536.1		0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
CLDN5	CLDN5	NM_001130861.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLDN5	CLDN5	NM_001363066.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLDN5	CLDN5	NM_001363067.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLDN5	CLDN5	NM_003277.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLTCL1	CLTCL1	NM_001835.4	protein_coding	0	5	10	10	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	5	0
CLTCL1	CLTCL1	NM_007098.4	protein_coding	0	5	10	10	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	5	0
COMT	COMT	NM_000754.4	protein_coding	0	7	1	18	0	0	1	0	0	0	0	7	0	4	1	0	0	0	0	0	0	7	6
COMT	COMT	NM_001135161.2	protein_coding	0	7	1	11	0	0	0	0	0	0	0	7	0	4	1	0	0	0	0	0	0	7	0
COMT	COMT	NM_001135162.2	protein_coding	0	7	1	11	0	0	0	0	0	0	0	7	0	4	1	0	0	0	0	0	0	7	0
COMT	COMT	NM_001362828.2	protein_coding	0	7	1	18	0	0	2	0	0	0	0	7	0	3	1	0	0	0	0	0	0	7	6
COMT	COMT	NM_007310.3	protein_coding	0	7	1	12	0	1	1	0	0	0	0	7	0	3	1	0	0	0	0	0	0	6	1
CPT1B	CPT1B	NM_001145134.2	protein_coding	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
CPT1B	CPT1B	NM_001145135.2	protein_coding	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
CPT1B	CPT1B	NM_001145137.2	protein_coding	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
CPT1B	CPT1B	NM_004377.4	protein_coding	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
CPT1B	CPT1B	NM_152245.3	protein_coding	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
CPT1B	CPT1B	NM_152246.3	protein_coding	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
CRELD2	CRELD2	NM_001135101.3	protein_coding	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4
CRELD2	CRELD2	NM_001284317.2	protein_coding	0	2	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4
CRELD2	CRELD2	NM_001284318.2	protein_coding	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4
CRELD2	CRELD2	NM_024324.5	protein_coding	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4
CRELD2	CRELD2	NR_104295.2		0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4
CRKL	CRKL	NM_005207.4	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
CRKL	CRKL	NR_156180.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYBA4	CRYBA4	NM_001886.3	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0
CRYBB1	CRYBB1	NM_001887.4	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
CRYBB2	CRYBB2	NM_000496.3	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
CRYBB3	CRYBB3	NM_004076.5	protein_coding	0	2	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0
CSF2RB	CSF2RB	NM_000395.3	protein_coding	0	18	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	18	0
CSNK1E	CSNK1E	NM_001894.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
